

TEMP PH ORP EC TDS SAL SG DO SAT TIME
19.296 3.98 185.20 0.00 0.00 0.00 1.00 9.26 100.40 23:53:32 D/M/Y:18/10/2017
19.283 3.98 184.70 0.00 0.00 0.00 1.00 9.37 101.60 23:58:33 D/M/Y:18/10/2017
19.263 3.98 184.20 0.00 0.00 0.00 1.00 9.38 101.70 0:3:33 D/M/Y:19/10/2017
19.247 3.98 183.60 0.00 0.00 0.00 1.00 9.38 101.70 0:8:34 D/M/Y:19/10/2017
19.227 3.98 183.00 0.00 0.00 0.00 1.00 9.39 101.70 0:13:35 D/M/Y:19/10/2017
19.088 3.98 182.30 0.00 0.00 0.00 1.00 9.42 102.00 0:18:35 D/M/Y:19/10/2017
19.089 3.98 181.70 0.00 0.00 0.00 1.00 9.40 101.50 0:23:36 D/M/Y:19/10/2017
19.084 3.98 181.20 0.00 0.00 0.00 1.00 9.42 101.70 0:28:37 D/M/Y:19/10/2017
18.886 3.98 180.70 0.00 0.00 0.00 1.00 9.40 101.50 0:33:37 D/M/Y:19/10/2017
18.923 3.98 180.20 0.00 0.00 0.00 1.00 9.40 101.20 0:38:38 D/M/Y:19/10/2017
18.932 3.98 179.60 0.00 0.00 0.00 1.00 9.50 102.20 0:43:39 D/M/Y:19/10/2017
18.915 3.98 179.00 0.00 0.00 0.00 1.00 9.42 101.40 0:48:39 D/M/Y:19/10/2017
18.766 3.98 178.40 0.00 0.00 0.00 1.00 9.37 100.80 0:53:40 D/M/Y:19/10/2017
18.767 3.98 178.10 0.00 0.00 0.00 1.00 9.49 101.80 0:58:41 D/M/Y:19/10/2017
18.735 3.98 177.50 0.00 0.00 0.00 1.00 9.46 101.50 1:3:41 D/M/Y:19/10/2017
18.600 3.98 177.00 0.00 0.00 0.00 1.00 9.50 101.60 1:8:42 D/M/Y:19/10/2017
18.580 3.98 176.50 0.00 0.00 0.00 1.00 9.39 100.30 1:13:43 D/M/Y:19/10/2017
18.556 3.98 176.10 0.00 0.00 0.00 1.00 9.44 100.90 1:18:43 D/M/Y:19/10/2017
18.356 3.98 175.60 0.00 0.00 0.00 1.00 9.55 102.00 1:23:44 D/M/Y:19/10/2017
18.494 3.97 175.30 0.00 0.00 0.00 1.00 9.47 100.70 1:28:45 D/M/Y:19/10/2017
18.295 3.98 174.60 0.00 0.00 0.00 1.00 9.53 101.30 1:33:45 D/M/Y:19/10/2017
18.259 3.98 174.10 0.00 0.00 0.00 1.00 9.71 103.20 1:38:46 D/M/Y:19/10/2017
18.109 3.98 173.70 0.00 0.00 0.00 1.00 9.73 103.00 1:43:47 D/M/Y:19/10/2017
17.940 3.98 173.30 0.00 0.00 0.00 1.00 9.59 101.50 1:48:47 D/M/Y:19/10/2017
17.918 3.98 173.00 0.00 0.00 0.00 1.00 9.75 102.80 1:53:48 D/M/Y:19/10/2017
17.773 3.97 172.70 0.00 0.00 0.00 1.00 9.73 102.30 1:58:49 D/M/Y:19/10/2017
17.626 3.97 172.10 0.00 0.00 0.00 1.00 9.59 100.50 2:3:49 D/M/Y:19/10/2017
17.464 3.97 171.80 0.00 0.00 0.00 1.00 9.83 102.70 2:8:50 D/M/Y:19/10/2017
17.294 3.97 171.40 0.00 0.00 0.00 1.00 9.84 102.50 2:13:51 D/M/Y:19/10/2017
17.140 3.97 170.70 0.00 0.00 0.00 1.00 9.95 103.30 2:18:51 D/M/Y:19/10/2017
16.902 3.97 170.30 0.00 0.00 0.00 1.00 10.09 104.20 2:23:52 D/M/Y:19/10/2017
16.433 3.97 169.80 0.00 0.00 0.00 1.00 10.48 107.20 2:28:53 D/M/Y:19/10/2017
15.581 3.96 169.70 0.00 0.00 0.00 1.00 10.54 105.80 2:33:53 D/M/Y:19/10/2017
14.043 3.95 169.40 0.00 0.00 0.00 1.00 10.94 106.30 2:38:54 D/M/Y:19/10/2017
13.095 3.94 169.60 0.00 0.00 0.00 1.00 10.95 104.10 2:43:55 D/M/Y:19/10/2017
13.109 3.95 170.70 0.00 0.00 0.00 1.00 10.83 103.10 2:48:55 D/M/Y:19/10/2017
12.905 3.95 171.50 0.00 0.00 0.00 1.00 11.08 104.90 2:53:56 D/M/Y:19/10/2017
12.902 3.96 172.30 0.00 0.00 0.00 1.00 11.12 105.30 2:58:57 D/M/Y:19/10/2017
12.904 3.96 172.60 0.00 0.00 0.00 1.00 11.04 104.60 3:3:57 D/M/Y:19/10/2017
12.942 3.96 173.30 0.00 0.00 0.00 1.00 11.07 104.90 3:8:58 D/M/Y:19/10/2017
12.912 3.97 173.40 0.00 0.00 0.00 1.00 11.05 104.70 3:13:59 D/M/Y:19/10/2017
12.494 3.97 173.70 0.00 0.00 0.00 1.00 10.81 101.50 3:18:59 D/M/Y:19/10/2017
12.367 3.96 173.90 0.00 0.00 0.00 1.00 10.94 102.40 3:24:0 D/M/Y:19/10/2017
12.385 3.97 174.20 0.00 0.00 0.00 1.00 11.02 103.10 3:29:1 D/M/Y:19/10/2017
12.221 3.97 174.20 0.00 0.00 0.00 1.00 11.15 104.00 3:34:1 D/M/Y:19/10/2017
12.415 3.97 174.60 0.00 0.00 0.00 1.00 11.03 103.30 3:39:2 D/M/Y:19/10/2017
12.586 3.98 174.50 0.00 0.00 0.00 1.00 11.01 103.50 3:44:3 D/M/Y:19/10/2017
12.393 3.97 174.80 0.00 0.00 0.00 1.00 10.98 102.90 3:49:3 D/M/Y:19/10/2017
12.188 3.97 175.10 0.00 0.00 0.00 1.00 11.18 104.20 3:54:4 D/M/Y:19/10/2017
12.331 3.98 175.30 0.00 0.00 0.00 1.00 11.08 103.60 3:59:4 D/M/Y:19/10/2017
12.056 3.98 175.40 0.00 0.00 0.00 1.00 11.25 104.50 4:4:5 D/M/Y:19/10/2017
12.063 3.98 175.50 0.00 0.00 0.00 1.00 11.09 103.00 4:9:6 D/M/Y:19/10/2017
12.046 3.98 175.80 0.00 0.00 0.00 1.00 11.32 105.10 4:14:6 D/M/Y:19/10/2017
11.793 3.98 175.90 0.00 0.00 0.00 1.00 11.33 104.60 4:19:7 D/M/Y:19/10/2017
11.927 3.98 176.10 0.00 0.00 0.00 1.00 11.17 103.50 4:24:8 D/M/Y:19/10/2017
12.093 3.98 176.00 0.00 0.00 0.00 1.00 11.25 104.60 4:29:8 D/M/Y:19/10/2017
11.950 3.98 176.10 0.00 0.00 0.00 1.00 11.07 102.60 4:34:9 D/M/Y:19/10/2017
11.716 3.98 176.50 0.00 0.00 0.00 1.00 11.24 103.70 4:39:10 D/M/Y:19/10/2017
11.513 3.98 176.80 0.00 0.00 0.00 1.00 11.35 104.10 4:44:10 D/M/Y:19/10/2017
11.816 3.98 176.70 0.00 0.00 0.00 1.00 11.09 102.50 4:49:11 D/M/Y:19/10/2017
11.359 3.98 176.90 0.00 0.00 0.00 1.00 11.36 103.90 4:54:12 D/M/Y:19/10/2017
11.183 3.98 177.40 0.00 0.00 0.00 1.00 11.19 101.90 4:59:12 D/M/Y:19/10/2017
